TopLeft,TopMid,TopRight,MidLeft,MidMid,MidRight,BotLeft,BotMid,BotRight,StateID,Action,qvalue
0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,1,0.0
0,0,0,0,0,0,0,0,0,0,2,0.0
0,0,0,0,0,0,0,0,0,0,3,0.0
0,0,0,0,0,0,0,0,0,0,4,0.0
0,0,0,0,0,0,0,0,0,0,5,0.0
0,0,0,0,0,0,0,0,0,0,6,0.0
0,0,0,0,0,0,0,0,0,0,7,0.0
0,0,0,0,0,0,0,0,0,0,8,0.0
0,0,0,0,0,0,0,0,1,1,0,0.0
0,0,0,0,0,0,0,0,1,1,1,0.0
0,0,0,0,0,0,0,0,1,1,2,0.0
0,0,0,0,0,0,0,0,1,1,3,0.0
0,0,0,0,0,0,0,0,1,1,4,0.0
0,0,0,0,0,0,0,0,1,1,5,0.0
0,0,0,0,0,0,0,0,1,1,6,0.0
0,0,0,0,0,0,0,0,1,1,7,0.0
0,0,0,0,0,0,0,0,2,2,0,0.0
0,0,0,0,0,0,0,0,2,2,1,0.0
0,0,0,0,0,0,0,0,2,2,2,0.0
0,0,0,0,0,0,0,0,2,2,3,0.0
0,0,0,0,0,0,0,0,2,2,4,0.0
0,0,0,0,0,0,0,0,2,2,5,0.0
0,0,0,0,0,0,0,0,2,2,6,0.0
0,0,0,0,0,0,0,0,2,2,7,0.0
0,0,0,0,0,0,0,1,0,3,0,0.0
0,0,0,0,0,0,0,1,0,3,1,0.0
0,0,0,0,0,0,0,1,0,3,2,0.0
0,0,0,0,0,0,0,1,0,3,3,0.0
0,0,0,0,0,0,0,1,0,3,4,0.0
0,0,0,0,0,0,0,1,0,3,5,0.0
0,0,0,0,0,0,0,1,0,3,6,0.0
0,0,0,0,0,0,0,1,0,3,8,0.0
0,0,0,0,0,0,0,1,2,4,0,0.0
0,0,0,0,0,0,0,1,2,4,1,0.0
0,0,0,0,0,0,0,1,2,4,2,0.0
0,0,0,0,0,0,0,1,2,4,3,0.0
0,0,0,0,0,0,0,1,2,4,4,0.0
0,0,0,0,0,0,0,1,2,4,5,0.0
0,0,0,0,0,0,0,1,2,4,6,0.0
0,0,0,0,0,0,0,2,0,5,0,0.0
0,0,0,0,0,0,0,2,0,5,1,0.0
0,0,0,0,0,0,0,2,0,5,2,0.0
0,0,0,0,0,0,0,2,0,5,3,0.0
0,0,0,0,0,0,0,2,0,5,4,0.0
0,0,0,0,0,0,0,2,0,5,5,0.0
0,0,0,0,0,0,0,2,0,5,6,0.0
0,0,0,0,0,0,0,2,0,5,8,0.0
0,0,0,0,0,0,0,2,1,6,0,0.0
0,0,0,0,0,0,0,2,1,6,1,0.0
0,0,0,0,0,0,0,2,1,6,2,0.0
0,0,0,0,0,0,0,2,1,6,3,0.0
0,0,0,0,0,0,0,2,1,6,4,0.0
0,0,0,0,0,0,0,2,1,6,5,0.0
0,0,0,0,0,0,0,2,1,6,6,0.0
0,0,0,0,0,0,1,0,0,7,0,0.0
0,0,0,0,0,0,1,0,0,7,1,0.0
0,0,0,0,0,0,1,0,0,7,2,0.0
0,0,0,0,0,0,1,0,0,7,3,0.0
0,0,0,0,0,0,1,0,0,7,4,0.0
0,0,0,0,0,0,1,0,0,7,5,0.0
0,0,0,0,0,0,1,0,0,7,7,0.0
0,0,0,0,0,0,1,0,0,7,8,0.0
0,0,0,0,0,0,1,0,2,8,0,0.0
0,0,0,0,0,0,1,0,2,8,1,0.0
0,0,0,0,0,0,1,0,2,8,2,0.0
0,0,0,0,0,0,1,0,2,8,3,0.0
0,0,0,0,0,0,1,0,2,8,4,0.0
0,0,0,0,0,0,1,0,2,8,5,0.0
0,0,0,0,0,0,1,0,2,8,7,0.0
0,0,0,0,0,0,1,1,2,9,0,0.0
0,0,0,0,0,0,1,1,2,9,1,0.0
0,0,0,0,0,0,1,1,2,9,2,0.0
0,0,0,0,0,0,1,1,2,9,3,0.0
0,0,0,0,0,0,1,1,2,9,4,0.0
0,0,0,0,0,0,1,1,2,9,5,0.0
0,0,0,0,0,0,1,2,0,10,0,0.0
0,0,0,0,0,0,1,2,0,10,1,0.0
0,0,0,0,0,0,1,2,0,10,2,0.0
0,0,0,0,0,0,1,2,0,10,3,0.0
0,0,0,0,0,0,1,2,0,10,4,0.0
0,0,0,0,0,0,1,2,0,10,5,0.0
0,0,0,0,0,0,1,2,0,10,8,0.0
0,0,0,0,0,0,1,2,1,11,0,0.0
0,0,0,0,0,0,1,2,1,11,1,0.0
0,0,0,0,0,0,1,2,1,11,2,0.0
0,0,0,0,0,0,1,2,1,11,3,0.0
0,0,0,0,0,0,1,2,1,11,4,0.0
0,0,0,0,0,0,1,2,1,11,5,0.0
