TopLeft,TopMid,TopRight,MidLeft,MidMid,MidRight,BotLeft,BotMid,BotRight,StateID,Action,numVisit,qvalue
0,0,0,0,0,0,0,0,0,0,0,5564,0.0
0,0,0,0,0,0,0,0,0,0,1,5564,0.0
0,0,0,0,0,0,0,0,0,0,2,5564,0.0
0,0,0,0,0,0,0,0,0,0,3,5564,0.0
0,0,0,0,0,0,0,0,0,0,4,5564,0.0
0,0,0,0,0,0,0,0,0,0,5,5564,0.0
0,0,0,0,0,0,0,0,0,0,6,5565,0.0
0,0,0,0,0,0,0,0,0,0,7,5564,0.0
0,0,0,0,0,0,0,0,0,0,8,5564,0.0
0,0,0,0,0,0,0,0,1,1,0,701,0.0
0,0,0,0,0,0,0,0,1,1,1,701,0.0
0,0,0,0,0,0,0,0,1,1,2,702,0.0
0,0,0,0,0,0,0,0,1,1,3,702,0.0
0,0,0,0,0,0,0,0,1,1,4,702,0.0
0,0,0,0,0,0,0,0,1,1,5,702,0.0
0,0,0,0,0,0,0,0,1,1,6,702,0.0
0,0,0,0,0,0,0,0,1,1,7,701,0.0
0,0,0,0,0,0,0,0,2,2,0,0,0.0
0,0,0,0,0,0,0,0,2,2,1,0,0.0
0,0,0,0,0,0,0,0,2,2,2,0,0.0
0,0,0,0,0,0,0,0,2,2,3,0,0.0
0,0,0,0,0,0,0,0,2,2,4,0,0.0
0,0,0,0,0,0,0,0,2,2,5,0,0.0
0,0,0,0,0,0,0,0,2,2,6,0,0.0
0,0,0,0,0,0,0,0,2,2,7,0,0.0
0,0,0,0,0,0,0,1,0,3,0,688,0.0
0,0,0,0,0,0,0,1,0,3,1,689,0.0
0,0,0,0,0,0,0,1,0,3,2,688,0.0
0,0,0,0,0,0,0,1,0,3,3,688,0.0
0,0,0,0,0,0,0,1,0,3,4,689,0.0
0,0,0,0,0,0,0,1,0,3,5,688,0.0
0,0,0,0,0,0,0,1,0,3,6,688,0.0
0,0,0,0,0,0,0,1,0,3,8,689,0.0
0,0,0,0,0,0,0,1,2,4,0,98,0.0
0,0,0,0,0,0,0,1,2,4,1,98,0.0
0,0,0,0,0,0,0,1,2,4,2,98,0.0
0,0,0,0,0,0,0,1,2,4,3,98,0.0
0,0,0,0,0,0,0,1,2,4,4,99,0.0
0,0,0,0,0,0,0,1,2,4,5,99,0.0
0,0,0,0,0,0,0,1,2,4,6,98,0.0
0,0,0,0,0,0,0,2,0,5,0,0,0.0
0,0,0,0,0,0,0,2,0,5,1,0,0.0
0,0,0,0,0,0,0,2,0,5,2,0,0.0
0,0,0,0,0,0,0,2,0,5,3,0,0.0
0,0,0,0,0,0,0,2,0,5,4,0,0.0
0,0,0,0,0,0,0,2,0,5,5,0,0.0
0,0,0,0,0,0,0,2,0,5,6,0,0.0
0,0,0,0,0,0,0,2,0,5,8,0,0.0
0,0,0,0,0,0,0,2,1,6,0,98,0.0
0,0,0,0,0,0,0,2,1,6,1,99,0.0
0,0,0,0,0,0,0,2,1,6,2,99,0.0
0,0,0,0,0,0,0,2,1,6,3,98,0.0
0,0,0,0,0,0,0,2,1,6,4,98,0.0
0,0,0,0,0,0,0,2,1,6,5,98,0.0
0,0,0,0,0,0,0,2,1,6,6,98,0.0
0,0,0,0,0,0,1,0,0,7,0,681,0.0
0,0,0,0,0,0,1,0,0,7,1,680,0.0
0,0,0,0,0,0,1,0,0,7,2,681,0.0
0,0,0,0,0,0,1,0,0,7,3,681,0.0
0,0,0,0,0,0,1,0,0,7,4,681,0.0
0,0,0,0,0,0,1,0,0,7,5,681,0.0
0,0,0,0,0,0,1,0,0,7,7,681,0.0
0,0,0,0,0,0,1,0,0,7,8,681,0.0
0,0,0,0,0,0,1,0,2,8,0,99,0.0
0,0,0,0,0,0,1,0,2,8,1,99,0.0
0,0,0,0,0,0,1,0,2,8,2,100,0.0
0,0,0,0,0,0,1,0,2,8,3,99,0.0
0,0,0,0,0,0,1,0,2,8,4,99,0.0
0,0,0,0,0,0,1,0,2,8,5,99,0.0
0,0,0,0,0,0,1,0,2,8,7,100,0.0
0,0,0,0,0,0,1,1,2,9,0,32,0.6988531190851494
0,0,0,0,0,0,1,1,2,9,1,32,0.0
0,0,0,0,0,0,1,1,2,9,2,32,0.6988531186563343
0,0,0,0,0,0,1,1,2,9,3,32,0.0
0,0,0,0,0,0,1,1,2,9,4,32,0.6988531186137725
0,0,0,0,0,0,1,1,2,9,5,32,0.6971327997789609
0,0,0,0,0,0,1,2,0,10,0,97,0.0
0,0,0,0,0,0,1,2,0,10,1,98,0.0
0,0,0,0,0,0,1,2,0,10,2,97,0.0
0,0,0,0,0,0,1,2,0,10,3,98,0.0
0,0,0,0,0,0,1,2,0,10,4,98,0.0
0,0,0,0,0,0,1,2,0,10,5,97,0.0
0,0,0,0,0,0,1,2,0,10,8,97,0.0
0,0,0,0,0,0,1,2,1,11,0,35,0.0
0,0,0,0,0,0,1,2,1,11,1,35,0.6971327999880297
0,0,0,0,0,0,1,2,1,11,2,34,0.0
0,0,0,0,0,0,1,2,1,11,3,35,0.0
0,0,0,0,0,0,1,2,1,11,4,34,0.698853119752213
0,0,0,0,0,0,1,2,1,11,5,34,0.0
0,0,0,0,0,0,1,2,2,12,0,0,0.0
0,0,0,0,0,0,1,2,2,12,1,0,0.0
0,0,0,0,0,0,1,2,2,12,2,0,0.0
0,0,0,0,0,0,1,2,2,12,3,0,0.0
0,0,0,0,0,0,1,2,2,12,4,0,0.0
0,0,0,0,0,0,1,2,2,12,5,0,0.0
0,0,0,0,0,0,2,0,0,13,0,0,0.0
0,0,0,0,0,0,2,0,0,13,1,0,0.0
0,0,0,0,0,0,2,0,0,13,2,0,0.0
